AttackCount,Organisation
1,Fuerzas Autonómicas y Destructivas León Czolgoscz
1,The Jean Marc Rouillan Armed and Heartless Columns
1,Comando Autónomo Voltaire Argandoña
1,Antagonistic Nuclei of the New Urban Guerrilla
1,Arab Steadfastness Front
1,Organization for the oppresed in Egypt's Prisons
1,Omar Abdel Rahman Brigade
1,Hector Rio De Brigade
1,New Indigenous Army
1,Dissident
1,Kisar Liberation Movement
1,Communist Party of India
1,Panthic Committee
1,Laiq Chanio Group of Dacoit Bandits
1,Shangytown residents
1,Dukhta-ran-e-Millat
1,Indian Tigers
1,Party Unity
1,Al-Hamas Mujahideen
1,Islamic Fateh
1,Kashmir Freedom Force
1,Karbi Tribe
1,Bhumi Uchched Pratirodh Committee (BUPC)
1,Naga People's Council (NPC)
1,Muslim United Liberation Tigers of Assam (MULTA)
1,Bengali Sangram Mukti Bahini
1,Achik Tiger Force
1,Manipur Nationalist Revolutionary Party (MNRP)
1,Barak Valley Tiger Force (BVTF)
1,United National Liberation Front of WESEA (UNLFW)
1,Jai Shri Ram Hindu Bhai Group
1,United Gorkha People's Organization (UGPO)
1,Achik Matgrik Army (AMA)
1,United Reformation Protest of India
1,Tiwa Liberation Army
1,National Revolutionary Front of Manipur (NRFM)
1,Quit Kashmir Movement (QKM)
1,Dimasa National Liberation Army (DNLA)
1,The Resistance Front (TRF)
1,Prolitarian Internationalism
1,Communist Brigade Dante Dimani
1,Communist Brigades
1,Combatent Communists
1,Armed Radical Groups for Communism
1,Vyborg Brigade
1,Territorial Communist Units
1,Tonino Micciche Workers Nucleus
1,Armed Struggle for Proletarian Power
1,Armed Communist Commando
1,Communist Armed Nucleus
1,Fighting Communist Front
1,Armed Nucleus of Communist Workers
1,Radical Communist Armed Nucleus
1,Armed Revolutionary Groups
1,Armed Womens Nuclei
1,Armed Proletarian Group
1,Armed Fight for Workers Power
1,Guards of the Fighting Proletariat
1,Tyrolean Defense League
1,Italian Extreme Nationalist Organization
1,Proletarian communist commandos
1,Revolutionary Action Groups
1,Territorial Anti-Fascist Patrols
1,Territorial Armed Groups for Communism
1,Comrades Organized in Partisan Nuclei
1,Revolutionary Committee for Counter Force
1,Armenian Organization for Armed Struggle
1,October Third Movement
1,Italians Attacking Policies of the Regional  SVP
1,Territorial Patrols of Anti-Fascist Vigilance
1,International Proletarian Groups
1,Scheutzen group
1,Worker's Brigade
1,Lebanese Terrorist Group
1,Revolutionary Movement
1,Communist Guerilla Nuclei
1,Nucleus of Fighting Communists
1,Nuclei Communist Combattants
1,Revolutionary Combat Brigades
1,Anti-Racist Guerrilla Nuclei
1,Iconoclasts
1,Sardinian Autonomy Movement
1,Moroccan extremists
1,Sisters in Arms
1,Anarchist Cell Acca (C.A.A.)
1,Cellula Haris Hatzimihelakis/Internazionale nera
1,Chukakuha Revolutionary Army
1,Revolutionary Force
1,Ethiopian Dongiro tribesmen
1,Amazigh Islamic Front
1,Jaish Tahkim al-Din
1,Al-Zintan Revolutionaries' Military Council
1,Al-Sawaiq Brigade
1,Madhesi Virus Killers
1,Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS)
1,National Liberation Army (Nepal)
1,Bhisan Himali Bag
1,Himali Tigers
1,Terai Rastriya Mukti Sena (TRMS)
1,Swatantra Nepal Dal
1,Madhesh Mukti Sangram (MMS)
1,Janatantrik Terai Madhes Mukti Party- Bhagat Singh (JTMMP)
1,Samyukta Terai Madhes Mukti Party
1,Sudurpaschim Janata Dal
1,Biswabhumi Sena Bishal Nepal
1,Sundar Shanta Nepal
1,The Organization for the Return of Legality
1,Organization of Soldiers of the Levant
1,AGEL
1,Armed Groups for Communism
1,Young Brigade of Navarro
1,RIF Popular Front
1,Autonomous Anarchist Groups
1,Three Stars Autonomous Commando
1,A Resistance Group
1,Republican Anticlerical Group
1,Bastards & Blasphems
1,Ummah Liberation Army
1,Opponents of Regime
1,National Salvation Forces Organization
1,Islamic Movement for Change
1,Liwa al-Islam
1,Abdul Qader Husseini Battalions of the Free Palestine movement
1,Liwa al-Sham
1,Liwa al-Haqq
1,Gathering to Aid the Oppressed
1,League of Damascus for Special Tasks
1,Authenticity and Development Front
1,Ajnad al-Sham
1,Fajr al-Umma Brigade
1,Women's Protection Units (YPJ)
1,Saraya al-Jihad Fi Bilad al-Sham
1,Joint Meeting Parties (JMP)
1,Amazonas Liberation Front
1,Palestinian support group
1,First Capital Command (PCC)
1,Quebec Separatists
1,Alliance of Revolutionary Cuban Organizations
1,Initiative de Resistance Internationaliste
1,Fighting For Freedom Coalition (FFFC-Ottawa)
1,Islamic Action Organization
1,United Nasirite Organizaiton
1,Pro-Libyan
1,"Masada, Action and Defense Movement"
1,Sixth of March Group
1,Fronte Paesanu Corsu di Liberazione (FPCL)
1,Portuguese Liberation Army
1,United Liberation Front for the New Algeria
1,Commandos Against Self Destruction of the Universe
1,Military Council for the True Liberation of Albania
1,Falangist Security Group
1,Avengers of Peiper Group
1,Fanatical Ecologists
1,Committee of action against bull fights
1,Breton Terrorist
1,Front of French National Liberation
1,Revolutionary Anarchist Armed Terrorist Movement
1,Autonomous Intervention Collective Against the Zionist Presence in France
1,League of French Fighters Against Jewish Occupation
1,French Liberation Front
1,Organization for the Liberation of France from Jewish Occupation
1,Self-Defense Against All Authority
1,Militant Zionist Resistance Movement
1,Revolutionary Nationalist Movement
1,Guadeloupe Separatists
1,French Basque Nationalists
1,Martyrs of Baalbek
1,Internal Front
1,Red Patriots Group
1,Carribbean Revolutionary Independence Army
1,New caledonian independence supporters
1,The Ordinary Men
1,Christian Palestinian group
1,Arab Revolutionary Front
1,S. O. S. France
1,Supporters of Right and Freedom
1,Groups Seeking Independence
1,Jacques de Molay Group
1,National Movement Against the Mahgreb Invasion
1,Movement for the Supremacy of Reason
1,Corsican Farmers' Front
1,Partisan Sharpshooters
1,Association Totalement Anti-Guerre (ATAG)
1,Anonymous Underground Movement (MCA)
1,French Armed Islamic Front
1,Afghan Revolutionary Front
1,Popular Revolutionary Resistance Group
1,Greek Anti-Dictatorial Youth (EAN)
1,National Youth Resistance Organization
1,People's Resistance Organized Army
1,Kentavros
1,Greek Popular Resistance
1,Iconoclastic Nihilists
1,Autonomy (Greece)
1,Northern Epirus Liberation Front (MAVI)
1,National Front (Greece)
1,Revolutionary Militant Left organization
1,Mikhail Kaltezas Anarchist Organization
1,People's Rebellion
1,May 36
1,Furious Rebellion
1,Turks of Western Thrace
1,Revolted Persons of the Polytech School
1,Massive escape
1,Fight Against Authority
1,Support of Ocalan-The Hawks of Thrace
1,Anti-Capitalist Action
1,Erotic Anti-authority Cells
1,Last Generation
1,Anarchists Attack Team
1,New Revolutionary Popular Struggle (NELA)
1,Rabid Brothers of Giuliani
1,Popular Revolutionary Action
1,Resistance Cell
1,Forbidden Blockade (Greece)
1,Revolutionary Continuity
1,Rebellious Group Lambros Foundas
1,Groups for Dissemination of Revolutionary Theory and Action
1,Urban Guerrilla War
1,Wild Freedom
1,Epanastatiki Anatropi (Revolutionary Overthrow)
1,Detonators of Social Uprisings
1,Unsubordinated Desires
1,Powers of the Revolutionary Arc
1,Anarchist Attack Consortium
1,Armed Revolutionary Forces
1,Moles
1,Durruti Brigades
1,Working People's Alliance (WPA)
1,Abu Hassan
1,Rabbi Rahane Group
1,Union of Galilee Christians
1,Major Muhammad Zuhnyn Group
1,Dawn Forces
1,South Lebanon Army
1,The Islamic Revolution to Liberate Palestine
1,Jerusalem Groups Hebrew (Qvutzot Yerushalayim)
1,Ramzi Nahra Martyr Organization
1,Martyr Sami al-Ghul Brigades
1,Jaish Al-Umma (Army of the Nation)
1,Al-Mujahedin Brigades (Palestine)
1,Army of State Liberators
1,Beli Orlovi (White Eagles)
1,Mlada Bosna
1,Civilian Defense
1,Vetevendosje
1,United Arab Revolution
1,Islamic Holy Star
1,Iranian Militants
1,Fighters of Democratic Latvia
1,Commando Internacionalista Simon Bolivar
1,Gulf Cartel
1,Informal Feminist Commando for Anti-authoritarian Action
1,Pumba and Tata Cartel
1,Jalisco New Generation Cartel (CJNG)
1,Sovereign Panama Patriotic Front
1,October 11 Group
1,Ansar Allah
1,GN-95
1,Afghan War Veterans
1,Revolutionary Military Council
1,Sword of Islam
1,SKIF Detachment
1,New Revolutionary Alternative (NRA)
1,Grozny Jamaat
1,Vanguard of Red Youth (AKM)
1,Karabulak Gang
1,Izberbash Gang
1,Balakhani Group
1,Ansaru ash-Sharia (Russia)
1,Nordisk Rikspartiet (Nordic National Party)
1,Danish Neo-Nazi Group
1,We Who Built Sweden
1,Ariska Brodraskapet (Aryan Brotherhood)
1,Hells Angels
1,Mahir Cayan Suicide Group
1,Turkish Revolutionaries
1,Separatist Clandestine Organization
1,Black Friday
1,Armed People's Units
1,The Unit of the Chemical Weapons Martyrs
1,June 16 Organization
1,Dev Genc
1,Communist Warrior's Union
1,People's Liberation Force
1,Mesopotamian Army (MEZOR)
1,Kurdish Islamic Unity Party
1,Union of Revolutionary Communists in Turkey (TIKB)
1,People's Defense Unit (Turkey)
1,Martyr Ciyager and Martyr Zeryan Revenge Units
1,Marxist-Leninist Communist Party (Turkey-MLKP)
1,National Army for the Liberation of Uganda (NALU)
1,Black Mambas
1,Jihad Islamic League Front
1,Aibed Er-Rahman katibet
1,El-Feth katibat
1,Islamic Front for the Liberation of Bahrain
1,Saraya al-Mukhtar
1,Al-Haydariyah Battalion
1,Peace Conquerors
1,The Call of Jesus Christ
1,Movement of the Revolutionary Left (MIR) (Bolivia)
1,People's Command
1,Brother Julian
1,Striking Minors Group
1,Manuel Ascencio Padilla Group
1,The Inevitables
1,National Anti-Corruption Front (FNA)
1,Heroes of Canto Grande
1,Revolutionary Insurgent Armed Forces of Ecuador (FAIRE)
1,National Liberation Front (Ecuador)
1,Movimiento Revolucionario Alfarista (MRA) - Comuneros Montanas del Ecuador
1,Fatherland
1,Azerbaijan Weapons Smugglers
1,Georgian guerrillas
1,Movement for the Protection of Jerusalem
1,Serbian Gangsters
1,Revolutionary Arab Youth Organization
1,Prisoner  Gourgen Yanikian Group
1,Ahmad Jibril
1,Lebanese Free Will Movement
1,Free Lebanon
1,Organization of Avenging Palestinian Youth
1,Joint Palestinian leftist organization
1,Free Revolutionaries Movement-The Giants
1,Iraqi Strugglers' Movement
1,The United Southern Front
1,Iraqi Liberation Army
1,Muslim Commando (Iraqi revolutionary brothers)
1,Al-Aqsa-Group
1,Lebanese Arab Army
1,Free Nasserite Revolutionaries
1,Martyrs of Saad Sayel
1,Arab Revenge Organization
1,Sharp Sword Organization
1,September 17 Organization
1,Yazbik Revolutionary Organization
1,Khalid ibn Walid
1,Revolutionary Christians of the Cedars
1,Moslem opponents of Gemayel
1,Al-Marabitun Revolutionary Committee
1,Revolutionary Liberation Cells
1,Poverty Brigade
1,Arab Struggle
1,Liberation Hawks
1,Forces of the Free Arab
1,Muhammed Shuqayr Group
1,Shaykh Hassan Khalid Forces
1,Martyr Riyad Taha Group
1,Revolutionary Labor Organization
1,Organization for the Defense of Detainees Rights
1,Aisha Umm-al Mouemeneen (Brigades of Aisha)
1,Unification Army Sons Brigade
1,Sunni Resistance Committees in Lebanon (SRCL)
1,Patriotic Moroccan Front
1,North Korean involvement commandos
1,Chin National Army
1,Angolan Defense Force
1,United Front for Nigeria's Liberation (UFNL)
1,Niger Delta Freedom Fighters (NDDF)
1,Urhobo Revolutionary Army
1,Delta Democratic Militia
1,Red Egbesu Water Lions
1,Red Scorpion
1,Niger Delta Justice Defense Group (NDJDG)
1,Koluama Seven Brothers
1,Somali Salvation Democratic Front (SSDF)
1,Marhan Clan
1,Tunisian Armed Resistance
1,Nazhdak Radical Public Organization
1,Artigas Guard Commando
1,Juan Antonio Lavalleja Command
1,Trieu Dai Viet
1,Kampuchean Peoples National Liberation Army
1,Military Liberation Front of Colombia
1,Falange
1,Red Tribune
1,Brigadas Rojas
1,American Anticommunist Association (AAA)
1,Patriotic Liberation Front (FPL)
1,Black Liberation Force
1,Los Barriales
1,Comuneros
1,Insurgency Commune
1,Workers' Forces of Liberation
1,Comando Independiente Revolucionario
1,Commander Luciano Varela Antiguerrilla Group
1,"Civil Association for Peace in Colombia, Asocipaz"
1,Extremist Nat'list Group
1,All Ethiopian Unity Party (AEUP)
1,Benishangul Gumuz People's Liberation Movement
1,Somoza Sympathizers
1,Juan Rayo Guerilla Group
1,Revolutionary United Front Movement
1,Patriotic Resistance Army (ERP)
1,Last Alternative Guerrilla Front
1,Kabul Government Agents
1,Former Student Hostel
1,Al-Nawaz
1,Harakat ul-Mujahidin Al-Almi
1,Muslim United Army (MUA)
1,Balochistan National Army
1,Baloch Militant Defense Army
1,Qari Kamran Group
1,Jamaat Tauhid Wal Jihad (Pakistan)
1,Hafiz Gul Bahadur Group
1,Free Balochistan Army (FBA)
1,Hafeez Brohi Group
1,Jeay Sindh Muttahida Mahaz (JSMM)
1,High Council of the Islamic Emirate
1,Portuguese Anti-Communist Movement
1,Action Group for Communism
1,Revolutionary Autonomous Group
1,Armed Commandos for Liberation
1,Anti-Capitalist Brigades
1,Civic United Front (CUF)
1,Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations)
1,Free Vietnam Movement
1,National Liberation Alliance of Sa Kaeo
1,Bersatu
1,Pattani United Liberation Organization-MKP (PULO-MKP)
1,Aba Cheali Group
1,South African guerrillas
1,Grupo Armado de Liberacion Argentina (GALA)
1,Militant Argentine Patriots
1,Active Espirit de Corps of the Argentina Army
1,Popular Resistance Front (FPR)
1,Islamic Revolutionary Command
1,Albatros Commando
1,Anti-Imperialist Commando
1,Rodolfo Walsh National Command
1,Comando Malvinas Argentinas
1,Jacinto Araujo Internationalist Rebel Insurrectionist Brigade
1,Vandalicia Teodoro Suarez
1,Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)
1,Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)
1,Greek Bulgarian Armenian Front
1,Vincente Mecha Revolutionary Christians
1,Counterrevolutionary Solidarity (SC)
1,Islamic Brotherhood
1,Anti-Communist Command (KAK)
1,Mujahedin Kompak
1,Mujahidin Ambon
1,Feuerkrieg Division (FKD)
1,Jose Benito Escobar Workers Federation
1,Sandinista Protester
1,Sinhalese Extremists
1,Tigers
1,Unidad Militar Bolivariana
1,Omar Torrijos Commando for Latin American Dignity
1,Venceremos
1,Venezuela Cartel
1,Command for National Sovereignty
1,Central University students
1,Fuerzas Populares Jose Leonardo Chirinos
1,Popular Liberation Front Urban Commando
1,Chama Pueblo en Rebelion
1,Opossition 48 hour general strikers
1,Pro-Government Students
1,Strike Enforcers
1,Jagrata Towhidi Janata (Rising Faithfuls)
1,Roberto Santucho Revolutionary Group
1,15th of September Liberation Legion
1,Fighting Ecologist Movement
1,Defenders of the Nation's Sovereignty
1,Antonio
1,Supporters of Colonel Mahmud Khudoyberdiyev
1,Mahaz-e-Milli Islami Afghanistan
1,Najib Watan Party Faction
1,Shinwari Tribe
1,Saif-ul-Muslimeen
1,Mullah Dadullah Front
1,Koetoh Reh
1,Pan-Turkish Organization
1,Schiedam Youth Front
1,Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)
1,Kabataang Makabayan (KM)
1,Alexander Villalon (YADO)
1,Jihad Brigades
1,First May Movement
1,Phillipine Moslems
1,Left wing student group
1,Squatters
1,Supporters of opposing candidate Abdu Sakurtan
1,Indigenous People's Federal Army (IPFA)
1,Kawal ng Pilipinas (Soldier of the Philippines)
1,Young Officer Union of the New Generation and Reformist Armed Forces of the Philippines (YOU-RAFP)
1,Alcubar group
1,Bangsamoro National Liberation Army
1,World Punishment Organization
1,Coordination of Anti-atomic Power Plant Saboteurs
1,Valais Group Against Hydro-Rhone
1,Martyrs of Tell Al-Zaltar
1,Socialist-Nationalist Front (SNF)
1,Saudi Hezbollah
1,Jaish al-Mukhtar
1,Wit Kommando
1,Anti-Apartheid guerrillas
1,Nazi Boerestat Party
1,White Liberation Army
1,Orde Boerevoik
1,Boer Republikeinse Leer
1,Muslims Against Global Oppression (MAGO)
1,28s
1,Seattle Liberation Front
1,BAY Bombers
1,People's Revolutionary Party
1,Regulators
1,Comrades in Arms
1,People's Liberation Army (United States)
1,Cuban C-4 Movement
1,National Socialist Liberation Front
1,Youth of the Star
1,Cuban extremists
1,Cuban Secret Army
1,Lolita Lebron Puerto Rican Liberation Command
1,Anti Shah of Iran
1,East Side Action Committee
1,Hatikvah Leumi or National Hope
1,Thunder of Zion
1,Antonia Martinez Student Commandos (AMSC)
1,United Jewish Underground
1,Jewish Direct Action
1,Nuclear Liberation Front
1,Mormon Extremist
1,Organization Alliance of Cuban Intransigence
1,Boricua Revolutionary Front
1,Organization 544
1,United Aryan Empire
1,Red Flag
1,Arab Liberation Army
1,Scottish Nationalists
1,King Street
1,Supporters of Johnny Adair
1,Republican Action Against Drugs (RAAD)
1,The Irish Volunteers
1,Artigas-Giachino Command
1,Lufa Tribesmen
1,Bosnian Croats
1,Serb Radical Party
1,Croat Democratic Union
1,Wahhabi Movement
1,Anti-Imperialist Patriotic Union
1,Commune 1
1,SFT
1,Students for a Democratic Society (SDS) (German)
1,Commando 27 September
1,League of the 18
1,Anti-Imperialist Fighters for a Free Palestine
1,Wehrsportgruppe Hoffmann
1,The Armed Secret Organization
1,Croatian Revolutionary Cell-Bruno Busic Dept
1,Action Struggle Against the World
1,Proletarian Initiative and Offensive for W. Europe
1,Anti-American Arab Liberation Front
1,Liberation Commando Rudolf Hess
1,Mustafa Aktas Fighting Unit
1,Militant Cells
1,Supporters of Pascal Lissouba
1,Central African National Liberation Movement
1,Islamic Salvation Front (Palestine)
1,Islamic Swords of Justice in the Land of Ribat
1,Jund Ansar Allah
1,Congolese Armed Patriotic Group
1,National Liberation Front of Chad
1,FACDM
1,Movement for Democracy and Development (MDD)
1,Union of Democratic Forces
1,Union of Chadian Forces (UFNT)
1,Democratic Party
1,Unified Kurdish Socialist Party
1,Ansar al-Din
1,Mujahedeen Brigades
1,Mujahedeen Group
1,Khalid ibn Walid Brigade
1,Holders of the Black Banners
1,Al Zawahiri Loyalists
1,Ansar al-Jihad
1,Islamic Movement of Iraqi Mujahidin
1,Liberals of Galilee
1,Islamic Jihad Brigades
1,Protectors of Islam Brigade
1,Omar Bin Khattab Group
1,Junaid Jihadist Battalion
1,Revenge Brigade
1,Ansar al-Tahwid wal Sunna
1,Banner of Islam
1,Islamic Companies
1,Death Squad (Iraq)
1,Kata'ib al-Imam Ali
1,Kata'ib Sayyid al-Shuhada
1,Peruvian Anti-Communist Alliance (AAP)
1,Orfei Harsha'am
1,Coalition of National Brigades
1,Charlot Jacquelin Militant Front
1,Achwan-I-Mushbani
1,Lashkari-e-Adam (Army of Adam)
1,Tripura Separatists
1,United Democratic Terai Liberation Front (UDTLF)
1,All Kamatapur Liberation Force
1,Terai Janatantrik Party
1,Yimchunger Liberation Front (YLF)
1,Adivasi Cobra Militants of Assam (ACMA)
1,Pahadi Cheetah
1,Jharkhand Bachao Aandolan
1,Dima Hasao National Army
1,Rabha National Security Force
1,Bru Democratic Front of Mizoram (BDFM)
1,Lama Group
1,Bangladesh Tiger Force
1,United Garo Security Force (UGSF)
1,Liberation of Achik Elite Force (LAEF)
1,Tribal Revolutionary Army (TRA)
1,Jharkhand Kranti Raksha Dal (Utari Chotanagpur)
1,Thadou People's Liberation Army (TPLA)
1,United Achik National Front (UANF)
1,Birsa Commando Force (BCF)
1,Arunachal Pradesh Deprived People's Front (APDPF)
1,Communist Territorial Unit
1,Fighting Communists
1,Anonima Sequestri
1,Zwai Tribe
1,Jaish al-Islam (Libya)
1,Mitiga Militia
1,Barq al-Nasser Brigade
1,Al-Madani Brigade
1,Knights of Janzour
1,Zawiya Martyrs Brigade
1,Al-Faruq Militia
1,Al-Saadawi Militia
1,Abdul Ghani Kikli Militia
1,Medfaiyah Wal-Sewarigh Brigade
1,Abu Salim Martyr's Brigade
1,Mutassim Billah Gaddafi Battalion
1,Hay Andalus Defense Operations Room
1,Tariq Bin Ziyad militia
1,Awliya al-Dam
1,Sanghiya Limbuwan Committee (SLC)
1,Catalan independence group
1,P.R.E.
1,Liberation Front of Southern Sudan
1,Sudanese mostly Christian rebels
1,People's Democratic Struggle Movement
1,Sudanese People's Front
1,Jaish al-Muhajireen wal-Ansar (Muhajireen Army)
1,The Mujahadeen Room in Latakia Countryside
1,Liwa al-Tawhid
1,Syrian Turkmen Brigades
1,Sawaid Al-Khayr
1,Sham Liberation Army
1,Turkish-backed militia
1,Bani Nawaf tribe
1,Al-Masni Tribe
1,Al-Yemenia al-Ulia Tribesmen
1,Bin Zabyan Tribesmen
1,"Tribesmen, al-Itada"
1,Bani Jaber tribe
1,Al-Zaidi Tribe - Mareb
1,Al-Jub Tribe
1,Aqmur
1,Al-Herak Al-Tihami Movement
1,Al-Mus'abi Tribe
1,Shabwah Province of the Islamic State
1,Al-Amaliqah Brigades
1,Soviet and Cuban-backed rebels/mercenaries
1,Comando Vermelho (Red Command)
1,Krikapi Indians
1,Kaingang Indians
1,Committee for the Defense of Italian Workers in France
1,Unione di u Populu Corsu (UPC)
1,People's Liberation Army (Mexico)
1,United Popular Liberation Army of America
1,People's Armed Revolutionary Branch
1,State Council of Indian and Peasant Organization
1,Juarez Cartel (Carrillo-Fuentes / Mexico)
1,Chinese Illegal Immigrant
1,Revolutionary Committee of Mozambique (COREMO)
1,Mouhajiroune Brigade
1,Jund al-Khilafa
1,Socialist Revolutionary Brigade
1,November 10 (Bolivia)
1,La Paz peasants federation
1,Ashuar Tribe
1,Nomadic AFARS
1,Eritrean Salvation Front (ESF)
1,South Ossetian Extremists
1,Zviadists
1,Vietnamese
1,Red June
1,Sons of the South
1,Relatives of terrorist
1,Vengence Party
1,Islamic Liberation Organization
1,Armed Struggle Cells
1,Father of the Poor
1,Hubay Qah Group
1,Progressive Socialist Party (PSP)
1,Brigade of al-Mukhtar al-Thaqafi
1,Zuwar al-Imam Rida
1,Ansar al-Imam Musa al-Sadr
1,Liberian Rebel Group
1,Ethnic Russian Separatists
1,Student Network of Mandalay
1,Egbema National Front
1,Bini-Oru
1,Gugama Youth Federation
1,Niger Delta Forest Army (NDFA)
1,Mousa Ismail sub-clan
1,Supporters of Ali Mahdi Mohammed
1,Russian Unity
1,OPR-33
1,Elos security firm
1,Supporters of presidential candidate Belisario Bet
1,Alfa 83
1,Revolutionary Armed Forces for the Liberation of Colombia (FALCO)
1,Libardo Moratoro Front
1,National Liberation People's Front (FPLN)
1,M-19 Splinter
1,Self Defense Forces
1,Human Rights Renewal Movement (Renovacion por los Derechos Humanos)
1,Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)
1,Afar rebels
1,People's Revolutionary Union
1,Guerrilla Commando of the people
1,Mazari Tribesmen
1,Afridi Tribe
1,Bhittani tribe
1,Tawheedul Islam
1,Orakzai Freedom Movement
1,Mariscal Lopez Army (EML)
1,Justicieros de la Frontera
1,People's Revolutionary Party (Tanzania)
1,Cambodian Gunmen
1,Political Military Organization of Paraguay
1,Argentina Libre (Free Argentina)
1,Death Squad of Organization Zero (Organizacion Cero)
1,Peasant Militants
1,Christian Group for the Respect for Life
1,U/I Militia Group led by Raul Martinez
1,West Indonesia Mujahideen
1,19th of July Christian Resistance Brigade
1,Viviana Gallardo Command
1,Citizens Volunteer Force
1,Revolutionary Command
1,Colombians
1,Supporters of Nicolas Maduro
1,Palestinian Students
1,Chakma tribal group
1,Tripura Group
1,Mog Liberation Party
1,Salafi Extremists
1,Nahzat e Eslami
1,Tela Mohammed
1,Gholam Yahya Akbar
1,Haji Fateh
1,Central American Revolutionary Workers Party (PRTC)
1,Extreme Right Commando Brigade
1,Manatari Brotherhood
1,Former Muslim Guerrillas
1,Pentagon Kidnap Group
1,Supporters of Johnny Paul Koroma
1,West Side Boys
1,Civil Cooperation Bureau
1,Jonathan Jackson Brigade
1,African-American extremists
1,Republic of Texas
1,Shield Wall Network (SWN)
1,M12J
1,Revolutionary Fighting Group 80
1,Jenin Martyrs Brigades
1,Front for Peace and Reconciliation (FRP)
1,South Sudanese extremists
1,Mai Mai Hapa Na Pale
1,Rally of Democratic Forces (RAFD)
1,Unk Iranian Guerrillas
1,Arab Youth Group (Militant)
1,Kurdish Oppositionists
1,Hizballah-Iraq
1,Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)
1,Face to Face (Face-a-Face)
1,Porattom
1,Puratchi Puligal
1,Thanthai Periyar Dravidar Kazhagam (TPDK)
1,Tehrik-e-Hurriyat (TeH)
1,Nikhil Bharat Bangali Udbastu Samannay Samiti (NBBUSS)
1,National People's Party (India)
1,Anti-CAB activists
1,Continuous Struggle
1,Workers Power
1,Communist Fighters Group
1,Nucleus of the Armed Struggle
1,Armed Fighting Nucleus For Communism
1,Fighting Nucleus for Communism
1,Combat Nucleus of Communist Unity
1,Armed Proletarian Patrols
1,Communist Fighting Corunim- Maria Anna Maria
1,International Communist Brigade
1,Southern Nucleus of Communist Counterpower
1,Autonomous Students
1,Armed Workers Nuclei
1,Fighting Women
1,Proletarian Nucleus
1,Communist Anti-Imperialistic Revolutionaries
1,Armed Proletarian Formations
1,Wild Cats
1,Territorial Communist Command
1,Territorial Cells for Boycotting the Elections
1,Jordanian Masses Organization
1,Italian Combatents for Alto Adige
1,Armed Communist Front
1,Okinawa Liberation League
1,Anti-Imperialist Students Council
1,Yamaguchi-Gumi Gang
1,Japan Socialist Youth League of the Revolutionary Workers' Association
1,Nara Red Army
1,"Taikosha, right wing group"
1,Issui Kai
1,Japan National Youth Alliance
1,Al-Zawiya Syndicates Council
1,Nalut Group
1,Rastriya Janashakti Party (RJP)
1,Good Vision Party (India)
1,Organization of Anti-Fascist Students
1,Falangist Vanguard
1,Anti-Marxist Commando
1,28 February Armed Group
1,Palestinian Liberation Command
1,Shanty Dwellers
1,Brazilian Democratic Mobilization Party (PMBD)
1,Popular Nationalist Insurgency Command of the Large Brazilian Integralist Family
1,Anti-Gentrification Front
1,Ecosocialist Forces
1,Black Masked Winners (BMW)
1,Proletarian Resistance Movement
1,Armed Brigades
1,Jewish Combat Organization
1,Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers)
1,Union of Young Kurdish Revolutionaries
1,Gazteriak
1,LW
1,No Borders Group
1,Fight Xenophobia
1,Irrintzi
1,Anarchist Revolt Against Exiled Gendarmes
1,The Nocturnals
1,Feminist extremists
1,Blue Archer Group
1,The Illegal Fisherman of the Night
1,Cells for Solidarity Against Authority
1,May 15
1,Anti-State Proletarian Nuclei
1,Friendly Company
1,Anarchist Struggle
1,Revolutionary Violence Units
1,Enraged Revolutionaries
1,The War That Was Never Declared
1,Incendiary Committee of Solidarity for Detainees
1,Alexandros Grigoropoulos Anarchist Attack Group
1,Deniers of Holidays
1,Council for the Destruction of Order
1,Anarchist Action (CA / United States)
1,Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)
1,Anarchist Anti-Capitalist Action Group
1,Proletarian Assault Group
1,Anarchist Commando Nestor Makhno Group
1,Nihilistic Patrol and Neighborhood Arsonists
1,Les Casseurs
1,Unrepentant Anarchists
1,"Lone Wolves of Radical, Autonomous, Militant National Socialism"
1,Cells of Direct Attack - Living Waste Group
1,Apella
1,Anarchist Collective of Kallithea-Moschato
1,Sons of Zouari
1,Islamic Front for the Liberation of Palestine (IFLP)
1,Islamic Struggle Front
1,Youth of Islamic Awakening
1,National Bolshevik Party (Partiya Natsionalnikh Bolshevikov - PNB)
1,Militants of the National Action Party
1,People's National Liberation Movement
1,Knights Templar (Caballeros Templarios)
1,Black Hawks (Anti-Wahhabists)
1,South Group (Russia)
1,Christian State-Holy Rus
1,The Black Sun
1,Al-Qaida Organization for Jihad in Sweden
1,Resistance Movement
